CPT only copyright 2025 American Medical Association.  All rights reserved.						
Column1/Column2 Edits						
Column 1	Column 2	*=in existence	Effective	Deletion	Modifier	PTP Edit Rationale
		prior to 1996	Date	Date	0=not allowed	
				*=no data	1=allowed	
					9=not applicable	
0001A	0591T		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	0592T		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	0593T		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	36591		20220101	20231231	0	CPT Manual or CMS manual coding instruction
0001A	36592		20220101	20231231	0	CPT Manual or CMS manual coding instruction
0001A	90473		20220101	20220101	9	CPT Manual or CMS manual coding instruction
0001A	96160		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	96161		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	96523		20220101	20231231	0	CPT Manual or CMS manual coding instruction
0001A	99202		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99203		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99204		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99205		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99211		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99212		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99213		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99214		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99215		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99241		20220101	20221231	1	CPT Manual or CMS manual coding instruction
0001A	99242		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99243		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99244		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99245		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99281		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99282		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99283		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99284		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99285		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99381		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99382		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99383		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99384		20220101	20231231	1	CPT Manual or CMS manual coding instruction
0001A	99385		20220101	20231231	1	CPT Manual or CMS manual coding instruction
