CY 2026 Final List of Medicare Telehealth Services		
HCPCS	Short Descriptor	Proposed Action
0362T	REDACTED	Maintain
0373T	REDACTED	Maintain
0591T	REDACTED	Maintain
0592T	REDACTED	Maintain
0593T	REDACTED	Maintain
77427	REDACTED	Maintain
90785	REDACTED	Maintain
90791	REDACTED	Maintain
90792	REDACTED	Maintain
90832	REDACTED	Maintain
90833	REDACTED	Maintain
90834	REDACTED	Maintain
90836	REDACTED	Maintain
90837	REDACTED	Maintain
90838	REDACTED	Maintain
90839	REDACTED	Maintain
90840	REDACTED	Maintain
90845	REDACTED	Maintain
90846	REDACTED	Maintain
90847	REDACTED	Maintain
90849	REDACTED	Addition
90853	REDACTED	Maintain
90875	REDACTED	Maintain
90901	REDACTED	Maintain
90951	REDACTED	Maintain
90952	REDACTED	Maintain
90953	REDACTED	Maintain
90954	REDACTED	Maintain
90955	REDACTED	Maintain
90956	REDACTED	Maintain
90957	REDACTED	Maintain
90958	REDACTED	Maintain
90959	REDACTED	Maintain
90960	REDACTED	Maintain
90961	REDACTED	Maintain
90962	REDACTED	Maintain
90963	REDACTED	Maintain
90964	REDACTED	Maintain
90965	REDACTED	Maintain
90966	REDACTED	Maintain
90967	REDACTED	Maintain
90968	REDACTED	Maintain
90969	REDACTED	Maintain
90970	REDACTED	Maintain
92002	REDACTED	Maintain
92004	REDACTED	Maintain
92012	REDACTED	Maintain
92014	REDACTED	Maintain
92507	REDACTED	Maintain
92508	REDACTED	Maintain
92521	REDACTED	Maintain
92522	REDACTED	Maintain
92523	REDACTED	Maintain
92524	REDACTED	Maintain
92526	REDACTED	Maintain
92550	REDACTED	Maintain
92552	REDACTED	Maintain
92553	REDACTED	Maintain
