Number,Title,Type,Series Number,Series Title,Narrative,Report Number,Component,Agencies,Status,Announced Date,Financial Group Tags,Issue Area Tags,Target Group Tags,Est FY
A-01-20-01501,Post-award Audit of SAMHSA's State Opioid Response Grants in Vermont,Project,SRS-A-25-015,Post-Award State or Tribal Audits of Substance Abuse and Mental Health Services Administration's Opioid Response Grants,"<p data-block-key=""ope07"">The Substance Abuse and Mental Health Services Administration (SAMHSA) has awarded a series of grants to combat opioid use disorder. These grants include State Targeted Response to the Opioid Crisis grants (Opioid STR) with approximately half of $970 million awarded in fiscal year (FY) 2017 and the other half awarded in FY 2018. In FY 2018, SAMHSA also awarded more than $930 million in the State Opioid Response grants (SOR) and approximately $50 million in Tribal Opioid Response grants (TOR). The purpose of the Opioid STR, SOR, and TOR grants are to increase access to treatment, reduce unmet treatment need, and reduce opioid overdose related deaths. This post-award audit will determine how select States or Tribal agencies implemented programs under the Opioid STR, SOR, or TOR grants. We will also determine whether the activities of these agencies and subrecipients responsible for implementing the programs complied with Federal regulations and met grant program goals.</p>",A-01-20-01501,OAS,SAMHSA,COMPLETED,2020-06-09,Grants,Financial Stewardship | Mental Health | Public Health Issues | Substance Abuse Disorder,,2026
A-01-21-00501,Audit of Medicare Part B Telehealth Evaluation and Management Services Provided During the COVID-19 Public Health Emergency,Project,W-00-24-35862,Audits of Medicare Part B Telehealth Services During the COVID-19 Public Health Emergency,"<p>Telehealth is playing an important role during the public health emergency (PHE), and CMS is exploring how telehealth services can be expanded beyond the PHE to provide care for Medicare beneficiaries. Because of telehealth's changing role, we will conduct a series of audits of Medicare Part B telehealth services in two phases. Phase one audits will focus on making an early assessment of whether services such as evaluation and management, opioid use disorder, end-stage renal disease, and psychotherapy (Work Plan number W-00-21-35801) meet Medicare requirements. Phase two audits will include additional audits of Medicare Part B telehealth services related to distant and originating site locations, virtual check-in services, electronic visits, remote patient monitoring, use of telehealth technology, and annual wellness visits to determine whether Medicare requirements are met.</p>",A-01-21-00501,OAS,CMS,COMPLETED,2021-06-29,Medicare B,COVID-19,Elderly,2026
A-01-21-00506,Audit of CMS Clinical Laboratory Fee Schedule Rate-Setting Process for Public Health Emergencies,Project,,,"<p>Medicare Part B pays for most clinical diagnostic laboratory tests (CDLTs) under the Clinical Laboratory Fee Schedule (CLFS).As a result of the Protecting Access to Medicare Act of 2014 (PAMA), beginning in 2018, CMS sets CLFS reimbursement rates based on the weighted median of private payer rates reported to CMS.A rate is set for each CDLT's Healthcare Common Procedure Coding System (HCPCS) code. The data are reported every 3 years, beginning January 1, 2017.(Reporting was postponed from January 1, 2020, to January 1, 2022, because of the pandemic.) For new CDLTs, CMS or its Medicare administrative contractors set reimbursement rates using ""cross-walking"" or ""gap-filling"" methodologies. CMS determines the basis (i.e., cross-walking or gap-filling) after it solicits and receives public comments, announces and holds its CLFS annual public meeting regarding new CDLTs, and considers comments and recommendations (and accompanying data) received, including recommendations from an outside advisory panel. The objective of this audit is to determine whether CMS's procedures for clinical diagnostic laboratory test rate-setting could be improved for future public health emergencies.</p>",A-01-21-00506,OAS,CMS,COMPLETED,2021-06-02,Medicare B,Departmental Operational Issues | Emergency Preparedness and Response | Laboratories | Public Health Issues | Quality of Care,,2026
A-01-22-00001,Review of Nursing Facility Compliance with Federal Regulations Regarding Infection Prevention,Project,W-00-24-31545,Audits of Nursing Home Infection Prevention and Control Program Deficiencies,"<p>The Centers for Disease Control and Prevention has indicated that individuals at high risk for severe illness from coronavirus disease 2019 (COVID-19) are people aged 65 years and older and those who live in a nursing home.Currently, more than 1.3 million residents live in approximately 15,450 Medicare- and Medicaid-certified nursing homes in the United States. As of February 2020, State Survey Agencies have cited more than 6,600 of these nursing homes (nearly 43 percent) for infection prevention and control program deficiencies, including lack of a correction plan in place for these deficiencies. To reduce the likelihood of contracting and spreading COVID-19 at these nursing homes, effective internal controls must be in place. Our objective is to determine whether selected nursing homes have programs for infection prevention and control and emergency preparedness in accordance with Federal requirements.</p>",A-01-22-00001,OAS,CMS,COMPLETED,2021-12-08,Medicaid,COVID-19 | Emergency Preparedness and Response | Quality of Care,,2026
A-01-22-01502,Audit of the Food and Drug Administration's Actions Regarding the Abbott Infant Formula Recall,Project,,,"<p>The Federal Food, Drug, and Cosmetic Act requires the Food and Drug Administration (FDA) to safeguard the Nation's food supply, including infant formula, and ensure that all ingredients are safe. As part of its oversight activities, FDA conducts inspections at infant formula manufacturers and can require infant formula manufacturers to recall adulterated infant formula that presents a risk to human health. We will determine whether FDA followed the inspections and recall process for infant formula in accordance with Federal requirements. Specifically, we will review FDA's actions leading up to the infant formula recall at the Abbott facility in February 2022 to determine whether FDA followed applicable policies and procedures to: (1) conduct inspections of the manufacturing facility and (2) oversee Abbott's initiation of the infant formula recall.</p>",A-01-22-01502,OAS,FDA,COMPLETED,2022-06-02,Other Funding,Public Health Issues,Children and Families,2026
A-01-22-02502,LIHEAP: Michigan Compliance Review,Project,SRS-A-25-004,Audits of the Low Income Home Energy Assistance Program for Fiscal Years 2021 and 2022,"<p>The Low Income Home Energy Assistance Program (LIHEAP) assists low income households in meeting their immediate home energy needs. LIHEAP funds can be used to help pay for heating and cooling, crisis assistance, and services (such as counseling) to reduce the need for energy assistance. At the Federal level, LIHEAP is administered by the Administration for Children and Families (ACF). States either administer the LIHEAP program or award LIHEAP funds to subgrantees that administer the program on a State's behalf. Federal requirements allow for 10 percent of total grant funds to be used for planning and administering LIHEAP. Previous OIG and Government Accountability Office audits revealed that ACF oversight of LIHEAP was not adequate to ensure that States and subgrantees consistently administered grant funds in accordance with Federal requirements. Since March 2020, the Federal Government has appropriated $9.3 billion for LIHEAP through the Coronavirus Aid, Relief, and Economic Security Act, the American Rescue Plan Act, the Infrastructure Investment and Jobs Act, and the annual LIHEAP block grant. We plan to conduct a series of audits of LIHEAP in high-risk States to determine whether the selected States monitored subgrantees to ensure compliance with Federal and State LIHEAP requirements.</p>",A-01-22-02502,OAS,ACF,COMPLETED,2022-09-19,Grants,COVID-19 | Financial Stewardship,Children and Families,2026
A-01-23-00001,"Office of Inspector General’s Partnership With the State of Rhode Island, Office of the Auditor General",Project,W-00-24-40002,Joint Work With State Agencies,"<p>To strengthen program integrity and efficiently use audit resources, we will enhance our efforts to provide broader oversight of the Medicaid program by partnering with State auditors, State comptrollers general, and State inspectors general. Federal-State partnerships will provide effective methods that address improper payments in fee-for-service programs such as home health, hospice, and durable medical equipment, and in managed care. OIG will partner with States to: (1) address known vulnerabilities that it has identified in both Medicare and Medicaid to curb such vulnerabilities in Medicaid nationwide; and (2) identify new areas that put the integrity of the Medicaid program at risk.</p>",A-01-23-00001,OAS,CMS,COMPLETED,2022-12-06,Medicaid,Departmental Operational Issues | Financial Stewardship,,2026
A-01-23-00002,Massachusetts,Project,W-00-24-31523,Medicaid Claims for Opioid Treatment Program Services,"<p>Medicaid is a significant source of coverage and funding for behavioral health treatment services, including treatment of substance abuse. Some Medicaid State agencies provide payment for Opioid Treatment Program (OTP) services. Services can be provided at freestanding and hospital-based OTPs. We will determine whether selected State agencies complied with certain Federal and State requirements when claiming Medicaid reimbursement for OTP services.

</p>",A-01-23-00002,OAS,CMS,COMPLETED,2023-07-28,Medicaid,Managed Care | Substance Abuse Disorder,,2026
A-01-23-00003,Medicaid Nursing Home Life Safety and Emergency Preparedness Reviews,Project,,,"<p>Previous OIG audits on Medicaid nursing home life safety and emergency preparedness have identified multiple issues that put vulnerable populations at risk and indicated that nursing homes in various States are not complying with these requirements. In 2016, CMS updated its health care facilities' life safety and emergency preparedness requirements to improve protections for all Medicare and Medicaid beneficiaries, including those residing in long-term-care (LTC) facilities. In addition, in 2019 CMS also issued expanded guidance on emerging infectious disease control to ensure that health care facilities are prepared to respond to threats from infectious diseases. OIG is reviewing this area because residents of LTC facilities are particularly vulnerable to risks such as fires, natural disasters, or disease outbreak (such as COVID-19 and other coronaviruses). Our objective is to determine whether LTC facilities that received Medicare or Medicaid funds complied with new Federal requirements for life safety and emergency and infectious disease control preparedness.</p>",A-01-23-00003,OAS,CMS,COMPLETED,2023-08-15,Medicaid,Emergency Preparedness and Response | Quality of Care,,2026
A-01-23-00004,"Office of Inspector General’s Partnership With the Commonwealth of Massachusetts, Office of the State Auditor: Office of Medicaid (MassHealth) — Review of Capitation Payments With Multiple Identification Numbers",Project,W-00-24-40002,Joint Work With State Agencies,"<p>To strengthen program integrity and efficiently use audit resources, we will enhance our efforts to provide broader oversight of the Medicaid program by partnering with State auditors, State comptrollers general, and State inspectors general. Federal-State partnerships will provide effective methods that address improper payments in fee-for-service programs such as home health, hospice, and durable medical equipment, and in managed care. OIG will partner with States to: (1) address known vulnerabilities that it has identified in both Medicare and Medicaid to curb such vulnerabilities in Medicaid nationwide; and (2) identify new areas that put the integrity of the Medicaid program at risk.</p>",A-01-23-00004,OAS,CMS,COMPLETED,2023-09-11,Medicaid,Departmental Operational Issues | Financial Stewardship,,2026
